TA1AAM ✅ (Alfa, Alfa, Mike) 🟢 🟢 ⚫️
TA1OJV ✅ (Oscar, Juliett, Victor)
TA1OJW ✅ (Oscar, Juliett, Whiskey)
TA1OJX ✅ (Oscar, Juliett, X-ray)
TA1OJY ✅ (Oscar, Juliett, Yankee)
TA1OJZ ✅ (Oscar, Juliett, Zulu)
TA1OKB ✅ (Oscar, Kilo, Bravo)
TA1OKD ✅ (Oscar, Kilo, Delta)
TA1OKJ ✅ (Oscar, Kilo, Juliett)
TA1OKM ✅ (Oscar, Kilo, Mike)
TA1OKP ✅ (Oscar, Kilo, Papa)
TA1OKQ ✅ (Oscar, Kilo, Quebec)
TA1OKV ✅ (Oscar, Kilo, Victor)
TA1OKZ ✅ (Oscar, Kilo, Zulu)
TA1OLA ✅ (Oscar, Lima, Alfa)
TA1OLD ✅ (Oscar, Lima, Delta)
TA1OLF ✅ (Oscar, Lima, Foxtrot)
TA1OLH ✅ (Oscar, Lima, Hotel)
TA1OLI ✅ (Oscar, Lima, India)
TA1OLJ ✅ (Oscar, Lima, Juliett)
TA1OLK ✅ (Oscar, Lima, Kilo)
TA1OLL ✅ (Oscar, Lima, Lima) ⚫️ 🟢 🟢
TA1OLM ✅ (Oscar, Lima, Mike)
TA1OLO ✅ (Oscar, Lima, Oscar) 🟢 ⚫️ 🟢
TA1OLP ✅ (Oscar, Lima, Papa)
TA1OLQ ✅ (Oscar, Lima, Quebec)
TA1OLR ✅ (Oscar, Lima, Romeo)
TA1OLS ✅ (Oscar, Lima, Sierra)
TA1OLU ✅ (Oscar, Lima, Uniform)
TA1OLV ✅ (Oscar, Lima, Victor)
TA1OLW ✅ (Oscar, Lima, Whiskey)
TA1OLX ✅ (Oscar, Lima, X-ray)
TA1OLY ✅ (Oscar, Lima, Yankee)
TA1OMC ✅ (Oscar, Mike, Charlie)
TA1OMD ✅ (Oscar, Mike, Delta)
TA1OMF ✅ (Oscar, Mike, Foxtrot)
TA1OMH ✅ (Oscar, Mike, Hotel)
TA1OMI ✅ (Oscar, Mike, India)
TA1OMJ ✅ (Oscar, Mike, Juliett)
TA1OML ✅ (Oscar, Mike, Lima)
TA1OMM ✅ (Oscar, Mike, Mike) ⚫️ 🟢 🟢
TA1OMO ✅ (Oscar, Mike, Oscar) 🟢 ⚫️ 🟢
TA1OMP ✅ (Oscar, Mike, Papa)
TA1OMQ ✅ (Oscar, Mike, Quebec)
TA1OMV ✅ (Oscar, Mike, Victor)
TA1OMW ✅ (Oscar, Mike, Whiskey)
TA1OMX ✅ (Oscar, Mike, X-ray)
TA1OMZ ✅ (Oscar, Mike, Zulu)
TA1ONB ✅ (Oscar, November, Bravo)
TA1ONC ✅ (Oscar, November, Charlie)
TA1ONF ✅ (Oscar, November, Foxtrot)
TA1ONH ✅ (Oscar, November, Hotel)
TA1ONJ ✅ (Oscar, November, Juliett)
TA1ONL ✅ (Oscar, November, Lima)
TA1ONM ✅ (Oscar, November, Mike)
TA1ONN ✅ (Oscar, November, November) ⚫️ 🟢 🟢
TA1ONP ✅ (Oscar, November, Papa)
TA1ONQ ✅ (Oscar, November, Quebec)
TA1ONS ✅ (Oscar, November, Sierra)
TA1ONV ✅ (Oscar, November, Victor)
TA1ONW ✅ (Oscar, November, Whiskey)
TA1OOA ✅ (Oscar, Oscar, Alfa) 🟢 🟢 ⚫️
TA1OOB ✅ (Oscar, Oscar, Bravo) 🟢 🟢 ⚫️
TA1OOC ✅ (Oscar, Oscar, Charlie) 🟢 🟢 ⚫️
TA1OOD ✅ (Oscar, Oscar, Delta) 🟢 🟢 ⚫️
TA1OOE ✅ (Oscar, Oscar, Echo) 🟢 🟢 ⚫️
TA1OOF ✅ (Oscar, Oscar, Foxtrot) 🟢 🟢 ⚫️
TA1OOH ✅ (Oscar, Oscar, Hotel) 🟢 🟢 ⚫️
TA1OOI ✅ (Oscar, Oscar, India) 🟢 🟢 ⚫️
TA1OOJ ✅ (Oscar, Oscar, Juliett) 🟢 🟢 ⚫️
TA1OOL ✅ (Oscar, Oscar, Lima) 🟢 🟢 ⚫️
TA1OOM ✅ (Oscar, Oscar, Mike) 🟢 🟢 ⚫️
TA1OOP ✅ (Oscar, Oscar, Papa) 🟢 🟢 ⚫️
TA1OOQ ✅ (Oscar, Oscar, Quebec) 🟢 🟢 ⚫️
TA1OOR ✅ (Oscar, Oscar, Romeo) 🟢 🟢 ⚫️
TA1OOS ✅ (Oscar, Oscar, Sierra) 🟢 🟢 ⚫️
TA1OOT ✅ (Oscar, Oscar, Tango) 🟢 🟢 ⚫️
TA1OOU ✅ (Oscar, Oscar, Uniform) 🟢 🟢 ⚫️
TA1OOV ✅ (Oscar, Oscar, Victor) 🟢 🟢 ⚫️
TA1OOW ✅ (Oscar, Oscar, Whiskey) 🟢 🟢 ⚫️
TA1OOX ✅ (Oscar, Oscar, X-ray) 🟢 🟢 ⚫️
TA1OOY ✅ (Oscar, Oscar, Yankee) 🟢 🟢 ⚫️
TA1OPA ✅ (Oscar, Papa, Alfa)
TA1OPB ✅ (Oscar, Papa, Bravo)
TA1OPC ✅ (Oscar, Papa, Charlie)
TA1OPD ✅ (Oscar, Papa, Delta)
TA1OPE ✅ (Oscar, Papa, Echo)
TA1OPF ✅ (Oscar, Papa, Foxtrot)
TA1OPG ✅ (Oscar, Papa, Golf)
TA1OPH ✅ (Oscar, Papa, Hotel)
TA1OPI ✅ (Oscar, Papa, India)
TA1OPJ ✅ (Oscar, Papa, Juliett)
TA1OPK ✅ (Oscar, Papa, Kilo)
TA1OPL ✅ (Oscar, Papa, Lima)
TA1OPM ✅ (Oscar, Papa, Mike)
TA1OPN ✅ (Oscar, Papa, November)
TA1OPO ✅ (Oscar, Papa, Oscar) 🟢 ⚫️ 🟢
TA1OPP ✅ (Oscar, Papa, Papa) ⚫️ 🟢 🟢
TA1OPQ ✅ (Oscar, Papa, Quebec)
TA1OPR ✅ (Oscar, Papa, Romeo)
TA1OPS ✅ (Oscar, Papa, Sierra)
TA1OPT ✅ (Oscar, Papa, Tango)
TA1OPU ✅ (Oscar, Papa, Uniform)
TA1OPV ✅ (Oscar, Papa, Victor)
TA1OPW ✅ (Oscar, Papa, Whiskey)
TA1OPX ✅ (Oscar, Papa, X-ray)
TA1OPY ✅ (Oscar, Papa, Yankee)
TA1OPZ ✅ (Oscar, Papa, Zulu)
TA1OQA ✅ (Oscar, Quebec, Alfa)
TA1OQB ✅ (Oscar, Quebec, Bravo)
TA1OQC ✅ (Oscar, Quebec, Charlie)
TA1OQD ✅ (Oscar, Quebec, Delta)
TA1OQE ✅ (Oscar, Quebec, Echo)
TA1OQF ✅ (Oscar, Quebec, Foxtrot)
TA1OQG ✅ (Oscar, Quebec, Golf)
TA1OQH ✅ (Oscar, Quebec, Hotel)
TA1OQI ✅ (Oscar, Quebec, India)
TA1OQJ ✅ (Oscar, Quebec, Juliett)
TA1OQK ✅ (Oscar, Quebec, Kilo)
TA1OQL ✅ (Oscar, Quebec, Lima)
TA1OQM ✅ (Oscar, Quebec, Mike)
TA1OQN ✅ (Oscar, Quebec, November)
TA1OQO ✅ (Oscar, Quebec, Oscar) 🟢 ⚫️ 🟢
TA1OQP ✅ (Oscar, Quebec, Papa)
TA1OQQ ✅ (Oscar, Quebec, Quebec) ⚫️ 🟢 🟢
TA1OQR ✅ (Oscar, Quebec, Romeo)
TA1OQS ✅ (Oscar, Quebec, Sierra)
TA1OQT ✅ (Oscar, Quebec, Tango)
TA1OQU ✅ (Oscar, Quebec, Uniform)
TA1OQV ✅ (Oscar, Quebec, Victor)
TA1OQW ✅ (Oscar, Quebec, Whiskey)
TA1OQX ✅ (Oscar, Quebec, X-ray)
TA1OQY ✅ (Oscar, Quebec, Yankee)
TA1OQZ ✅ (Oscar, Quebec, Zulu)
TA1ORF ✅ (Oscar, Romeo, Foxtrot)
TA1ORI ✅ (Oscar, Romeo, India)
TA1ORJ ✅ (Oscar, Romeo, Juliett)
TA1ORL ✅ (Oscar, Romeo, Lima)
TA1ORO ✅ (Oscar, Romeo, Oscar) 🟢 ⚫️ 🟢
TA1ORP ✅ (Oscar, Romeo, Papa)
TA1ORQ ✅ (Oscar, Romeo, Quebec)
TA1ORR ✅ (Oscar, Romeo, Romeo) ⚫️ 🟢 🟢
TA1ORS ✅ (Oscar, Romeo, Sierra)
TA1ORV ✅ (Oscar, Romeo, Victor)
TA1ORW ✅ (Oscar, Romeo, Whiskey)
TA1ORX ✅ (Oscar, Romeo, X-ray)
TA1ORZ ✅ (Oscar, Romeo, Zulu)
TA1OSF ✅ (Oscar, Sierra, Foxtrot)
TA1OSP ✅ (Oscar, Sierra, Papa)
TA1OSQ ✅ (Oscar, Sierra, Quebec)
TA1OSW ✅ (Oscar, Sierra, Whiskey)
TA1OSX ✅ (Oscar, Sierra, X-ray)
TA1OTC ✅ (Oscar, Tango, Charlie)
TA1OTF ✅ (Oscar, Tango, Foxtrot)
TA1OTG ✅ (Oscar, Tango, Golf)
TA1OTP ✅ (Oscar, Tango, Papa)
TA1OTQ ✅ (Oscar, Tango, Quebec)
TA1OTU ✅ (Oscar, Tango, Uniform)
TA1OTV ✅ (Oscar, Tango, Victor)
TA1OTW ✅ (Oscar, Tango, Whiskey)
TA1OTY ✅ (Oscar, Tango, Yankee)
TA1OUB ✅ (Oscar, Uniform, Bravo)
TA1OUC ✅ (Oscar, Uniform, Charlie)
TA1OUD ✅ (Oscar, Uniform, Delta)
TA1OUE ✅ (Oscar, Uniform, Echo)
TA1OUF ✅ (Oscar, Uniform, Foxtrot)
TA1OUG ✅ (Oscar, Uniform, Golf)
TA1OUH ✅ (Oscar, Uniform, Hotel)
TA1OUJ ✅ (Oscar, Uniform, Juliett)
TA1OUK ✅ (Oscar, Uniform, Kilo)
TA1OUL ✅ (Oscar, Uniform, Lima)
TA1OUM ✅ (Oscar, Uniform, Mike)
TA1OUN ✅ (Oscar, Uniform, November)
TA1OUO ✅ (Oscar, Uniform, Oscar) 🟢 ⚫️ 🟢
TA1OUP ✅ (Oscar, Uniform, Papa)
TA1OUQ ✅ (Oscar, Uniform, Quebec)
TA1OUS ✅ (Oscar, Uniform, Sierra)
TA1OUT ✅ (Oscar, Uniform, Tango)
TA1OUU ✅ (Oscar, Uniform, Uniform) ⚫️ 🟢 🟢
TA1OUV ✅ (Oscar, Uniform, Victor)
TA1OUW ✅ (Oscar, Uniform, Whiskey)
TA1OVA ✅ (Oscar, Victor, Alfa)
TA1OVB ✅ (Oscar, Victor, Bravo)
TA1OVC ✅ (Oscar, Victor, Charlie)
TA1OVD ✅ (Oscar, Victor, Delta)
TA1OVE ✅ (Oscar, Victor, Echo)
TA1OVF ✅ (Oscar, Victor, Foxtrot)
TA1OVH ✅ (Oscar, Victor, Hotel)
TA1OVI ✅ (Oscar, Victor, India)
TA1OVJ ✅ (Oscar, Victor, Juliett)
TA1OVK ✅ (Oscar, Victor, Kilo)
TA1OVM ✅ (Oscar, Victor, Mike)
TA1OVN ✅ (Oscar, Victor, November)
TA1OVO ✅ (Oscar, Victor, Oscar) 🟢 ⚫️ 🟢
TA1OVP ✅ (Oscar, Victor, Papa)
TA1OVQ ✅ (Oscar, Victor, Quebec)
TA1OVT ✅ (Oscar, Victor, Tango)
TA1OVU ✅ (Oscar, Victor, Uniform)
TA1OVV ✅ (Oscar, Victor, Victor) ⚫️ 🟢 🟢
TA1OVW ✅ (Oscar, Victor, Whiskey)
TA1OVX ✅ (Oscar, Victor, X-ray)
TA1OVY ✅ (Oscar, Victor, Yankee)
TA1OVZ ✅ (Oscar, Victor, Zulu)
TA1OWA ✅ (Oscar, Whiskey, Alfa)
TA1OWB ✅ (Oscar, Whiskey, Bravo)
TA1OWC ✅ (Oscar, Whiskey, Charlie)
TA1OWD ✅ (Oscar, Whiskey, Delta)
TA1OWE ✅ (Oscar, Whiskey, Echo)
TA1OWF ✅ (Oscar, Whiskey, Foxtrot)
TA1OWG ✅ (Oscar, Whiskey, Golf)
TA1OWH ✅ (Oscar, Whiskey, Hotel)
TA1OWI ✅ (Oscar, Whiskey, India)
TA1OWJ ✅ (Oscar, Whiskey, Juliett)
TA1OWK ✅ (Oscar, Whiskey, Kilo)
TA1OWL ✅ (Oscar, Whiskey, Lima)
TA1OWM ✅ (Oscar, Whiskey, Mike)
TA1OWN ✅ (Oscar, Whiskey, November)
TA1OWO ✅ (Oscar, Whiskey, Oscar) 🟢 ⚫️ 🟢
TA1OWP ✅ (Oscar, Whiskey, Papa)
TA1OWQ ✅ (Oscar, Whiskey, Quebec)
TA1OWR ✅ (Oscar, Whiskey, Romeo)
TA1OWS ✅ (Oscar, Whiskey, Sierra)
TA1OWT ✅ (Oscar, Whiskey, Tango)
TA1OWU ✅ (Oscar, Whiskey, Uniform)
TA1OWV ✅ (Oscar, Whiskey, Victor)
TA1OWW ✅ (Oscar, Whiskey, Whiskey) ⚫️ 🟢 🟢
TA1OWX ✅ (Oscar, Whiskey, X-ray)
TA1OWY ✅ (Oscar, Whiskey, Yankee)
TA1OWZ ✅ (Oscar, Whiskey, Zulu)
TA1OXB ✅ (Oscar, X-ray, Bravo)
TA1OXC ✅ (Oscar, X-ray, Charlie)
TA1OXD ✅ (Oscar, X-ray, Delta)
TA1OXE ✅ (Oscar, X-ray, Echo)
TA1OXF ✅ (Oscar, X-ray, Foxtrot)
TA1OXG ✅ (Oscar, X-ray, Golf)
TA1OXH ✅ (Oscar, X-ray, Hotel)
TA1OXI ✅ (Oscar, X-ray, India)
TA1OXJ ✅ (Oscar, X-ray, Juliett)
TA1OXK ✅ (Oscar, X-ray, Kilo)
TA1OXL ✅ (Oscar, X-ray, Lima)
TA1OXM ✅ (Oscar, X-ray, Mike)
TA1OXN ✅ (Oscar, X-ray, November)
TA1OXO ✅ (Oscar, X-ray, Oscar) 🟢 ⚫️ 🟢
TA1OXP ✅ (Oscar, X-ray, Papa)
TA1OXQ ✅ (Oscar, X-ray, Quebec)
TA1OXR ✅ (Oscar, X-ray, Romeo)
TA1OXS ✅ (Oscar, X-ray, Sierra)
TA1OXT ✅ (Oscar, X-ray, Tango)
TA1OXU ✅ (Oscar, X-ray, Uniform)
TA1OXV ✅ (Oscar, X-ray, Victor)
TA1OXW ✅ (Oscar, X-ray, Whiskey)
TA1OXX ✅ (Oscar, X-ray, X-ray) ⚫️ 🟢 🟢
TA1OXY ✅ (Oscar, X-ray, Yankee)
TA1OXZ ✅ (Oscar, X-ray, Zulu)
TA1OYE ✅ (Oscar, Yankee, Echo)
TA1OYH ✅ (Oscar, Yankee, Hotel)
TA1OYJ ✅ (Oscar, Yankee, Juliett)
TA1OYK ✅ (Oscar, Yankee, Kilo)
TA1OYL ✅ (Oscar, Yankee, Lima)
TA1OYM ✅ (Oscar, Yankee, Mike)
TA1OYN ✅ (Oscar, Yankee, November)
TA1OYO ✅ (Oscar, Yankee, Oscar) 🟢 ⚫️ 🟢
TA1OYP ✅ (Oscar, Yankee, Papa)
TA1OYQ ✅ (Oscar, Yankee, Quebec)
TA1OYS ✅ (Oscar, Yankee, Sierra)
TA1OYT ✅ (Oscar, Yankee, Tango)
TA1OYU ✅ (Oscar, Yankee, Uniform)
TA1OYV ✅ (Oscar, Yankee, Victor)
TA1OYW ✅ (Oscar, Yankee, Whiskey)
TA1OYX ✅ (Oscar, Yankee, X-ray)
TA1OYY ✅ (Oscar, Yankee, Yankee) ⚫️ 🟢 🟢
TA1OZJ ✅ (Oscar, Zulu, Juliett)
TA1OZP ✅ (Oscar, Zulu, Papa)
TA1OZQ ✅ (Oscar, Zulu, Quebec)
TA1PAB ✅ (Papa, Alfa, Bravo)
TA1PAC ✅ (Papa, Alfa, Charlie)
TA1PAE ✅ (Papa, Alfa, Echo)
TA1PAF ✅ (Papa, Alfa, Foxtrot)
TA1PAG ✅ (Papa, Alfa, Golf)
TA1PAH ✅ (Papa, Alfa, Hotel)
TA1PAI ✅ (Papa, Alfa, India)
TA1PAJ ✅ (Papa, Alfa, Juliett)
TA1PAL ✅ (Papa, Alfa, Lima)
TA1PAM ✅ (Papa, Alfa, Mike)
TA1PAO ✅ (Papa, Alfa, Oscar)
TA1PAP ✅ (Papa, Alfa, Papa) 🟢 ⚫️ 🟢
TA1PAQ ✅ (Papa, Alfa, Quebec)
TA1PAR ✅ (Papa, Alfa, Romeo)
TA1PAU ✅ (Papa, Alfa, Uniform)
TA1PAV ✅ (Papa, Alfa, Victor)
TA1PAW ✅ (Papa, Alfa, Whiskey)
TA1PAX ✅ (Papa, Alfa, X-ray)
TA1PAZ ✅ (Papa, Alfa, Zulu)
TA1PBA ✅ (Papa, Bravo, Alfa)
TA1PBB ✅ (Papa, Bravo, Bravo) ⚫️ 🟢 🟢
TA1PBC ✅ (Papa, Bravo, Charlie)
TA1PBD ✅ (Papa, Bravo, Delta)
TA1PBE ✅ (Papa, Bravo, Echo)
TA1PBF ✅ (Papa, Bravo, Foxtrot)
TA1PBG ✅ (Papa, Bravo, Golf)
TA1PBH ✅ (Papa, Bravo, Hotel)
TA1PBI ✅ (Papa, Bravo, India)
TA1PBJ ✅ (Papa, Bravo, Juliett)
TA1PBL ✅ (Papa, Bravo, Lima)
TA1PBM ✅ (Papa, Bravo, Mike)
TA1PBN ✅ (Papa, Bravo, November)
TA1PBO ✅ (Papa, Bravo, Oscar)
TA1PBP ✅ (Papa, Bravo, Papa) 🟢 ⚫️ 🟢
TA1PBQ ✅ (Papa, Bravo, Quebec)
TA1PBR ✅ (Papa, Bravo, Romeo)
TA1PBS ✅ (Papa, Bravo, Sierra)
TA1PBT ✅ (Papa, Bravo, Tango)
TA1PBU ✅ (Papa, Bravo, Uniform)
TA1PBV ✅ (Papa, Bravo, Victor)
TA1PBW ✅ (Papa, Bravo, Whiskey)
TA1PBX ✅ (Papa, Bravo, X-ray)
TA1PBY ✅ (Papa, Bravo, Yankee)
TA1PBZ ✅ (Papa, Bravo, Zulu)
TA1PCA ✅ (Papa, Charlie, Alfa)
TA1PCC ✅ (Papa, Charlie, Charlie) ⚫️ 🟢 🟢
TA1PCD ✅ (Papa, Charlie, Delta)
TA1PCE ✅ (Papa, Charlie, Echo)
TA1PCF ✅ (Papa, Charlie, Foxtrot)
TA1PCG ✅ (Papa, Charlie, Golf)
TA1PCH ✅ (Papa, Charlie, Hotel)
TA1PCI ✅ (Papa, Charlie, India)
TA1PCJ ✅ (Papa, Charlie, Juliett)
TA1PCK ✅ (Papa, Charlie, Kilo)
TA1PCL ✅ (Papa, Charlie, Lima)
TA1PCM ✅ (Papa, Charlie, Mike)
TA1PCN ✅ (Papa, Charlie, November)
TA1PCO ✅ (Papa, Charlie, Oscar)
TA1PCP ✅ (Papa, Charlie, Papa) 🟢 ⚫️ 🟢
TA1PCQ ✅ (Papa, Charlie, Quebec)
TA1PCR ✅ (Papa, Charlie, Romeo)
TA1PCS ✅ (Papa, Charlie, Sierra)
TA1PCT ✅ (Papa, Charlie, Tango)
TA1PCU ✅ (Papa, Charlie, Uniform)
TA1PCV ✅ (Papa, Charlie, Victor)
TA1PCW ✅ (Papa, Charlie, Whiskey)
TA1PCX ✅ (Papa, Charlie, X-ray)
TA1PCY ✅ (Papa, Charlie, Yankee)
TA1PCZ ✅ (Papa, Charlie, Zulu)
TA1PDA ✅ (Papa, Delta, Alfa)
TA1PDB ✅ (Papa, Delta, Bravo)
TA1PDC ✅ (Papa, Delta, Charlie)
TA1PDD ✅ (Papa, Delta, Delta) ⚫️ 🟢 🟢
TA1PDE ✅ (Papa, Delta, Echo)
TA1PDF ✅ (Papa, Delta, Foxtrot)
TA1PDG ✅ (Papa, Delta, Golf)
TA1PDH ✅ (Papa, Delta, Hotel)
TA1PDI ✅ (Papa, Delta, India)
TA1PDJ ✅ (Papa, Delta, Juliett)
TA1PDK ✅ (Papa, Delta, Kilo)
TA1PDL ✅ (Papa, Delta, Lima)
TA1PDM ✅ (Papa, Delta, Mike)
TA1PDN ✅ (Papa, Delta, November)
TA1PDO ✅ (Papa, Delta, Oscar)
TA1PDP ✅ (Papa, Delta, Papa) 🟢 ⚫️ 🟢
TA1PDQ ✅ (Papa, Delta, Quebec)
TA1PDR ✅ (Papa, Delta, Romeo)
TA1PDS ✅ (Papa, Delta, Sierra)
TA1PDT ✅ (Papa, Delta, Tango)
TA1PDU ✅ (Papa, Delta, Uniform)
TA1PDV ✅ (Papa, Delta, Victor)
TA1PDW ✅ (Papa, Delta, Whiskey)
TA1PDX ✅ (Papa, Delta, X-ray)
TA1PDY ✅ (Papa, Delta, Yankee)
TA1PDZ ✅ (Papa, Delta, Zulu)
TA1PEA ✅ (Papa, Echo, Alfa)
TA1PEB ✅ (Papa, Echo, Bravo)
TA1PEC ✅ (Papa, Echo, Charlie)
TA1PED ✅ (Papa, Echo, Delta)
TA1PEE ✅ (Papa, Echo, Echo) ⚫️ 🟢 🟢
TA1PEF ✅ (Papa, Echo, Foxtrot)
TA1PEG ✅ (Papa, Echo, Golf)
TA1PEH ✅ (Papa, Echo, Hotel)
TA1PEI ✅ (Papa, Echo, India)
TA1PEJ ✅ (Papa, Echo, Juliett)
TA1PEK ✅ (Papa, Echo, Kilo)
TA1PEL ✅ (Papa, Echo, Lima)
TA1PEM ✅ (Papa, Echo, Mike)
TA1PEN ✅ (Papa, Echo, November)
TA1PEO ✅ (Papa, Echo, Oscar)
TA1PEP ✅ (Papa, Echo, Papa) 🟢 ⚫️ 🟢
TA1PEQ ✅ (Papa, Echo, Quebec)
TA1PES ✅ (Papa, Echo, Sierra)
TA1PET ✅ (Papa, Echo, Tango)
TA1PEU ✅ (Papa, Echo, Uniform)
TA1PEV ✅ (Papa, Echo, Victor)
TA1PEW ✅ (Papa, Echo, Whiskey)
TA1PEX ✅ (Papa, Echo, X-ray)
TA1PEY ✅ (Papa, Echo, Yankee)
TA1PEZ ✅ (Papa, Echo, Zulu)
TA1PFA ✅ (Papa, Foxtrot, Alfa)
TA1PFB ✅ (Papa, Foxtrot, Bravo)
TA1PFC ✅ (Papa, Foxtrot, Charlie)
TA1PFD ✅ (Papa, Foxtrot, Delta)
TA1PFE ✅ (Papa, Foxtrot, Echo)
TA1PFF ✅ (Papa, Foxtrot, Foxtrot) ⚫️ 🟢 🟢
TA1PFG ✅ (Papa, Foxtrot, Golf)
TA1PFH ✅ (Papa, Foxtrot, Hotel)
TA1PFI ✅ (Papa, Foxtrot, India)
TA1PFJ ✅ (Papa, Foxtrot, Juliett)
TA1PFK ✅ (Papa, Foxtrot, Kilo)
TA1PFL ✅ (Papa, Foxtrot, Lima)
TA1PFM ✅ (Papa, Foxtrot, Mike)
TA1PFN ✅ (Papa, Foxtrot, November)
TA1PFO ✅ (Papa, Foxtrot, Oscar)
TA1PFP ✅ (Papa, Foxtrot, Papa) 🟢 ⚫️ 🟢
TA1PFQ ✅ (Papa, Foxtrot, Quebec)
TA1PFR ✅ (Papa, Foxtrot, Romeo)
TA1PFS ✅ (Papa, Foxtrot, Sierra)
TA1PFT ✅ (Papa, Foxtrot, Tango)
TA1PFU ✅ (Papa, Foxtrot, Uniform)
TA1PFV ✅ (Papa, Foxtrot, Victor)
TA1PFW ✅ (Papa, Foxtrot, Whiskey)
TA1PFX ✅ (Papa, Foxtrot, X-ray)
TA1PFY ✅ (Papa, Foxtrot, Yankee)
TA1PFZ ✅ (Papa, Foxtrot, Zulu)
TA1PGA ✅ (Papa, Golf, Alfa)
TA1PGB ✅ (Papa, Golf, Bravo)
TA1PGC ✅ (Papa, Golf, Charlie)
TA1PGD ✅ (Papa, Golf, Delta)
TA1PGE ✅ (Papa, Golf, Echo)
TA1PGF ✅ (Papa, Golf, Foxtrot)
TA1PGG ✅ (Papa, Golf, Golf) ⚫️ 🟢 🟢
TA1PGH ✅ (Papa, Golf, Hotel)
TA1PGI ✅ (Papa, Golf, India)
TA1PGJ ✅ (Papa, Golf, Juliett)
TA1PGK ✅ (Papa, Golf, Kilo)
TA1PGL ✅ (Papa, Golf, Lima)
TA1PGM ✅ (Papa, Golf, Mike)
TA1PGN ✅ (Papa, Golf, November)
TA1PGO ✅ (Papa, Golf, Oscar)
TA1PGP ✅ (Papa, Golf, Papa) 🟢 ⚫️ 🟢
TA1PGQ ✅ (Papa, Golf, Quebec)
TA1PGR ✅ (Papa, Golf, Romeo)
TA1PGS ✅ (Papa, Golf, Sierra)
TA1PGT ✅ (Papa, Golf, Tango)
TA1PGU ✅ (Papa, Golf, Uniform)
TA1PGV ✅ (Papa, Golf, Victor)
TA1PGW ✅ (Papa, Golf, Whiskey)
TA1PGX ✅ (Papa, Golf, X-ray)
TA1PGY ✅ (Papa, Golf, Yankee)
TA1PGZ ✅ (Papa, Golf, Zulu)
TA1PHA ✅ (Papa, Hotel, Alfa)
TA1PHB ✅ (Papa, Hotel, Bravo)
TA1PHC ✅ (Papa, Hotel, Charlie)
TA1PHD ✅ (Papa, Hotel, Delta)
TA1PHE ✅ (Papa, Hotel, Echo)
TA1PHF ✅ (Papa, Hotel, Foxtrot)
TA1PHG ✅ (Papa, Hotel, Golf)
TA1PHH ✅ (Papa, Hotel, Hotel) ⚫️ 🟢 🟢
TA1PHI ✅ (Papa, Hotel, India)
TA1PHJ ✅ (Papa, Hotel, Juliett)
TA1PHK ✅ (Papa, Hotel, Kilo)
TA1PHL ✅ (Papa, Hotel, Lima)
TA1PHM ✅ (Papa, Hotel, Mike)
TA1PHN ✅ (Papa, Hotel, November)
TA1PHO ✅ (Papa, Hotel, Oscar)
TA1PHQ ✅ (Papa, Hotel, Quebec)
TA1PHR ✅ (Papa, Hotel, Romeo)
TA1PHS ✅ (Papa, Hotel, Sierra)
TA1PHT ✅ (Papa, Hotel, Tango)
TA1PHU ✅ (Papa, Hotel, Uniform)
TA1PHV ✅ (Papa, Hotel, Victor)
TA1PHW ✅ (Papa, Hotel, Whiskey)
TA1PHX ✅ (Papa, Hotel, X-ray)
TA1PHY ✅ (Papa, Hotel, Yankee)
TA1PHZ ✅ (Papa, Hotel, Zulu)
TA1PIA ✅ (Papa, India, Alfa)
TA1PIB ✅ (Papa, India, Bravo)
TA1PIE ✅ (Papa, India, Echo)
TA1PIF ✅ (Papa, India, Foxtrot)
TA1PIG ✅ (Papa, India, Golf)
TA1PIH ✅ (Papa, India, Hotel)
TA1PII ✅ (Papa, India, India) ⚫️ 🟢 🟢
TA1PIJ ✅ (Papa, India, Juliett)
TA1PIK ✅ (Papa, India, Kilo)
TA1PIL ✅ (Papa, India, Lima)
TA1PIM ✅ (Papa, India, Mike)
TA1PIN ✅ (Papa, India, November)
TA1PIO ✅ (Papa, India, Oscar)
TA1PIP ✅ (Papa, India, Papa) 🟢 ⚫️ 🟢
TA1PIQ ✅ (Papa, India, Quebec)
TA1PIR ✅ (Papa, India, Romeo)
TA1PIS ✅ (Papa, India, Sierra)
TA1PIT ✅ (Papa, India, Tango)
TA1PIU ✅ (Papa, India, Uniform)
TA1PIV ✅ (Papa, India, Victor)
TA1PIW ✅ (Papa, India, Whiskey)
TA1PIX ✅ (Papa, India, X-ray)
TA1PIY ✅ (Papa, India, Yankee)
TA1PIZ ✅ (Papa, India, Zulu)
TA1PJA ✅ (Papa, Juliett, Alfa)
TA1PJB ✅ (Papa, Juliett, Bravo)
TA1PJC ✅ (Papa, Juliett, Charlie)
TA1PJD ✅ (Papa, Juliett, Delta)
TA1PJE ✅ (Papa, Juliett, Echo)
TA1PJF ✅ (Papa, Juliett, Foxtrot)
TA1PJG ✅ (Papa, Juliett, Golf)
TA1PJH ✅ (Papa, Juliett, Hotel)
TA1PJI ✅ (Papa, Juliett, India)
TA1PJJ ✅ (Papa, Juliett, Juliett) ⚫️ 🟢 🟢
TA1PJK ✅ (Papa, Juliett, Kilo)
TA1PJL ✅ (Papa, Juliett, Lima)
